,Movie,Worldwide Lifetime Gross / US$,% Gross in US
46,The Great Wall,334933831,13.6
47,Now You See Me 2,334897606,19.4
48,Never Say Die,334530869,0.0
49,Fantastic Four,333535934,46.4
50,Indiana Jones and the Temple of Doom,333107271,54.0
51,Tomorrow Never Dies,333011068,37.6
52,Back to the Future Part II,332500002,35.8
53,The Good Dinosaur,332207671,37.0
54,Free Guy,331526598,36.7
55,22 Jump Street,331333876,57.9
56,Meet the Parents,330444045,50.3
57,Who Framed Roger Rabbit,329803958,47.4
58,Black Swan,329398046,32.5
59,The Perfect Storm,328718434,55.6
60,Crocodile Dundee,328203506,53.3
61,Crazy Alien,327598891,0.0
62,Se7en,327333559,30.6
63,John Wick: Chapter 3 - Parabellum,327281779,52.2
64,The Devil Wears Prada,326706115,38.2
65,Taken 3,326479141,27.3
66,The Hunchback of Notre Dame,325338851,30.8
67,A Christmas Carol,325286646,42.4
68,The SpongeBob Movie: Sponge Out of Water,325186032,50.1
69,Schindler's List,322161245,30.1
70,Megamind,321885765,46.1
71,The Conjuring 2,321834351,31.8
72,Green Book,321752656,26.4
73,Lethal Weapon 3,321731527,45.0
74,Robin Hood,321669741,32.7
75,Inglourious Basterds,321457747,37.5
76,101 Dalmatians,320689294,42.5
77,The Conjuring,320406242,42.9
78,Fatal Attraction,320145693,48.9
79,Sonic the Hedgehog,319715683,46.6
80,The Last Airbender,319713881,41.2
81,The Proposal,317375031,51.7
82,A Beautiful Mind,316791257,53.9
83,Beverly Hills Cop,316360478,74.2
84,The Polar Express,315249768,59.9
85,Air Force One,315156409,54.9
86,The Expendables 2,314975955,27.0
87,Chicken Little,314432837,43.1
88,As Good as It Gets,314178011,47.3
89,Maze Runner: The Scorch Trials,312296056,26.2
90,Resident Evil: The Final Chapter,312242626,8.6
91,The Lego Batman Movie,312136671,56.4
92,Austin Powers: The Spy Who Shagged Me,312016928,66.0
93,Knives Out,311605581,53.1
94,Ocean's Thirteen,311312624,37.6
95,Little Fockers,310650585,47.8
96,Bolt,309979994,36.8
97,Ransom,309492681,44.1
98,Runaway Bride,309460292,49.2
99,The Blind Side,309231694,82.8
100,The Ex-File 3: The Return of The Exes,307592427,0.3
101,The Fault in Our Stars,307166834,40.6
102,The Pursuit of Happyness,307127625,53.3
103,Rise of the Guardians,306941670,33.7
104,Close Encounters of the Third Kind,306889114,44.0
105,Chicago,306776732,55.6
106,Annabelle: Creation,306515884,33.3
107,Wonder,306209289,43.2
108,Skyscraper,304868961,22.4
109,A Good Day to Die Hard,304654182,22.1
110,Mulan,304320254,39.6
111,Dangal,303723636,4.1
112,Passengers,303144152,33.0
113,Battleship,303025485,21.6
114,Liar Liar,302710615,59.9
115,G.I. Joe: The Rise of Cobra,302469017,49.7
116,Wrath of the Titans,301970083,27.7
117,Fantastic Four: Rise of the Silver Surfer,301913131,43.7
118,Hook,300854823,39.8
119,Superman,300478449,44.8
120,Rocky IV,300473716,42.6
121,Rambo: First Blood Part II,300400432,50.1
122,Resident Evil: Afterlife,300228084,20.0
123,Van Helsing,300157638,40.0
124,Stuart Little,300135367,46.7
125,Beverly Hills Cop II,299965036,51.2
126,Alice Through the Looking Glass,299820798,25.7
127,My Best Friend's Wedding,299288605,42.5
128,Real Steel,299268508,28.6
129,Horton Hears a Who!,298572799,51.8
130,Ocean's Eight,297795726,47.1
131,A Quiet Place Part II,297372261,53.8
132,The Divergent Series: Insurgent,297002527,43.8
133,Look Who's Talking,296999813,47.2
134,Austin Powers in Goldmember,296938801,71.8
135,Ghostbusters,296578797,82.1
136,Miss Peregrine's Home for Peculiar Children,296482446,29.4
137,X-Men,296339528,53.1
138,Ferdinand,296069199,28.5
139,Shutter Island,294805697,43.4
140,Doctor Dolittle,294456605,49.0
141,Bee Movie,293514336,43.1
142,Salt,293503354,40.3
143,G-Force,292817898,40.8
144,The Departed,291480452,45.4
145,What Lies Beneath,291420351,53.4
146,Pacific Rim: Uprising,290930148,20.6
147,The Bourne Supremacy,290835269,60.6
148,Sex and the City 2,290745055,32.8
149,Shakespeare in Love,289317794,34.7
150,Divergent,288885818,52.2
151,Coming to America,288752301,44.4
152,Wedding Crashers,288485135,72.5
153,Bridesmaids,288383523,58.6
154,Maze Runner: The Death Cure,288175335,20.1
155,Casper,287928194,34.8
156,American Pie 2,287553595,50.5
157,Pitch Perfect 2,287144079,64.2
158,The Green Mile,286801374,47.7
159,Oblivion,286168572,31.1
160,Elysium,286140700,32.5
161,Elvis,286040048,52.8
162,Lethal Weapon 4,285444603,45.7
163,John Carter,284139100,25.7
164,Turbo,282570682,29.4
165,Paddington,282377683,27.0
166,Bridget Jones's Diary,281995610,25.4
167,The Tourist,278780441,24.3
168,Split,278454417,49.7
169,Scary Movie,278019771,56.5
170,xXx,277448382,51.2
171,The Bourne Legacy,276144750,41.0
172,Mr. Peabody & Sherman,275698039,40.4
173,Scooby-Doo,275678613,55.6
174,Lincoln,275293450,66.2
175,Lara Croft: Tomb Raider,274703340,47.8
176,Tomb Raider,274650803,21.2
177,The Expendables,274470394,37.6
178,Cloudy with a Chance of Meatballs 2,274325949,43.7
179,The Nutty Professor,273961019,47.0
180,Jerry Maguire,273552592,56.3
181,Bad Boys II,273339556,50.7
182,Lilo & Stitch,273144151,53.4
183,The Silence of the Lambs,272742922,47.9
184,Grown Ups,271457301,59.7
185,Neighbors,270665134,55.5
186,The Firm,270248367,58.6
187,We're the Millers,269994119,55.7
188,Gran Torino,269958228,54.9
189,"10,000 BC",269784201,35.1
190,American Gangster,269755430,48.2
191,Epic,268426634,40.1
192,Exodus: Gods and Kings,268175631,24.2
193,Blade Runner 2049,267770708,34.4
194,Bambi,267447150,38.2
195,The Princess and the Frog,267045765,39.1
196,Batman Returns,266915287,61.0
197,Indecent Proposal,266614059,40.0
198,Something's Gotta Give,265328738,47.0
199,Bridget Jones: The Edge of Reason,265126918,15.2
0,The Incredible Hulk,264770996,50.9
1,Waterworld,264218220,33.4
2,The Truman Show,264118201,47.6
3,Charlie's Angels,264105545,47.4
4,The Fifth Element,263920180,24.2
5,Jumanji,262821940,38.2
6,Parasite,262566980,20.3
7,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,262552893,48.9
8,Robots,262511490,48.8
9,Knight and Day,261989769,29.2
10,Total Recall,261317921,45.7
11,This Is It,261183588,27.6
12,Terminator: Dark Fate,261119292,23.8
13,The Lone Ranger,260502115,34.3
14,Super 8,260095986,48.8
15,Mojin: The Lost Legend,259368448,0.5
16,Charlie's Angels: Full Throttle,259175788,38.9
17,Rush Hour 3,258097122,54.3
18,The Full Monty,257938649,17.8
19,Kung Fu Yoga,257753889,0.1
20,Annabelle,257589721,32.7
21,Encanto,256786742,37.4
22,The Village,256697520,44.5
23,Lost in Hong Kong,256283912,0.5
24,Erin Brockovich,256271286,49.0
25,Pegasus,255863112,0.0
26,Get Out,255745157,68.9
27,Marley & Me,255743093,56.0
28,Halloween,255614941,62.3
29,Us,255229022,68.6
