,Movie,RottenT_Rating
813,Denise Ho: Becoming The Song,7.6
814,Browse,4.0
815,Metamorphosis,5.7
816,Baby Frankenstein,6.0
817,I Like Money,6.2
818,Caniba,6.8
819,What She Said: The Art Of Pauline Kael,7.0
820,The Ghost Of Peter Sellers,7.6
821,Stardog And Turbocat,5.1
822,Babyteeth,7.7
823,Mope,6.5
824,The Short History Of The Long Road,7.3
825,Driven,6.7
826,Corpus Christi,8.1
827,Miss Juneteenth,7.7
828,Zana,6.8
829,Bully. Coward. Victim. The Story Of Roy Cohn,6.9
830,Two Heads Creek,6.8
831,Scare Package,7.2
832,The Half Of It,7.9
833,Ghosts Of War,5.1
834,I Am Vengeance: Retaliation,5.2
835,My Darling Vivian,8.0
836,Shoot To Marry,7.3
837,Manchild: The Schea Cotton Story,7.8
838,Daddy Issues,4.6
839,Feel The Beat,5.2
840,Aquaslash,3.9
841,You Should Have Left,5.5
842,Never Be Done: The Richard Glen Lett Story,8.4
843,Jack & Yaya,7.4
844,The Pollinators,6.2
845,Hill Of Freedom,7.5
846,Pulse,6.9
847,Burden,6.5
848,Judy & Punch,6.7
849,2040,7.2
850,You Don'T Nomi,7.3
851,Think Like A Dog,6.0
852,Seahorse: The Dad Who Gave Birth,7.6
853,Tommaso,7.2
854,Marona'S Fantastic Tale,8.0
855,This Teacher,8.5
856,Shirley,7.6
857,The King Of Staten Island,7.1
858,Lost In America,8.0
859,The Last Full Measure,6.3
860,Return To Hardwick,7.6
861,Dreamland,6.0
862,The Collini Case,7.0
863,The Accompanist,3.3
864,A Clear Shot,4.2
865,The Dinner Party,4.7
866,Clementine,6.3
867,The Candy Witch,4.9
868,Hammer,7.0
869,Becky,6.2
870,The Blackout,5.3
871,Ursula Von Rydingsvard: Into Her Own,7.7
872,Parkland Rising,8.2
873,Stealing School,7.0
874,Scoob!,5.4
875,Valley Girl,6.1
876,Fourteen,7.8
877,Porno,6.3
878,The Traitor,7.3
879,Crshd,7.0
880,Rewind,8.5
881,How To Build A Girl,6.9
882,On A Magical Night,6.4
883,Z,7.2
884,Kate Nash: Underestimate The Girl,7.1
885,A Good Woman Is Hard To Find,7.4
886,Castle In The Ground,6.8
887,Sweetness In The Belly,6.8
888,Diablo Rojo Pty,6.1
889,Angelfish,7.4
890,"I Love You, Stupid",5.5
891,The Legion,2.0
892,The Wrong Missy,4.7
893,The Lovebirds,6.3
894,Evil Little Things,4.0
895,Walkaway Joe,4.0
896,Blood And Money,5.5
897,Proximity,4.9
898,The Bellmen,5.4
899,The Third Strike,6.8
900,Have A Good Trip: Adventures In Psychedelics,6.3
901,18 Presents,6.2
902,Midnight Family,7.9
903,Up From The Streets: New Orleans: The City Of Music,6.9
904,Fame-Ish,6.2
905,Rad,4.9
906,The Infiltrators,7.5
907,Premature,8.0
908,Nothing Fancy: Diana Kennedy,8.0
909,Olympic Dreams,6.4
910,End Of Sentence,7.2
911,Lucky Grandma,7.3
912,Military Wives,6.5
913,Jesus Shows You The Way To The Highway,7.4
914,The Painter And The Thief,8.2
915,Chameleon,6.3
916,Incitement,7.7
917,Just Mercy,7.2
918,The Man Standing Next,7.6
919,The Dalai Lama: Scientist,6.8
920,I Will Make You Mine,7.4
921,Villain,6.6
922,Aka Jane Roe,7.5
923,Survive The Night,4.4
924,Inheritance,4.5
925,Bloodshot,4.9
926,Girls Just Wanna Have Blood,3.6
927,Screened Out,6.6
928,Lbj,6.0
929,The Trip To Greece,7.5
930,Debt Collectors,6.2
931,Body Cam,5.2
932,Stage: The Culinary Internship,8.0
933,Man In Camo,8.5
934,Until The Birds Return,6.9
935,Working Man,7.6
936,Clemency,8.0
937,Driveways,8.1
938,Saint Frances,8.3
939,Bull,7.4
940,Beanpole,7.9
941,Our Mothers,7.4
942,Deerskin,7.3
943,Better Days,8.4
944,The Wretched,6.5
945,"Endings, Beginnings",5.8
946,The Jack In The Box,4.9
947,Blood Quantum,7.3
948,Capital In The Twenty-First Century,7.6
949,Blue Story,7.0
950,The Photograph,6.8
951,Natalie Wood: What Remains Behind,7.1
