Movie,Released_Year,Genre,Director,IMDB_Rating
Gone Girl,2014,Drama,David Fincher,8.1
ÃKami Kodomo No Ame To Yuki,2012,Animation,Mamoru Hosoda,8.1
Hacksaw Ridge,2016,Biography,Mel Gibson,8.1
Inside Out,2015,Animation,Pete Docter,8.1
Barfi!,2012,Comedy,Anurag Basu,8.1
12 Years A Slave,2013,Biography,Steve McQueen,8.1
Rush,2013,Action,Ron Howard,8.1
Ford V Ferrari,2019,Action,James Mangold,8.1
Spotlight,2015,Biography,Tom McCarthy,8.1
Song Of The Sea,2014,Animation,Tomm Moore,8.1
Kahaani,2012,Mystery,Sujoy Ghosh,8.1
Zindagi Na Milegi Dobara,2011,Comedy,Zoya Akhtar,8.1
Prisoners,2013,Crime,Denis Villeneuve,8.1
Mad Max: Fury Road,2015,Action,George Miller,8.1
A Wednesday,2008,Action,Neeraj Pandey,8.1
Gran Torino,2008,Drama,Clint Eastwood,8.1
Harry Potter And The Deathly Hallows: Part 2,2011,Adventure,David Yates,8.1
Okuribito,2008,Drama,YÃ´jirÃ´ Takita,8.1
Hachi: A Dog'S Tale,2009,Biography,Lasse HallstrÃ¶m,8.1
Mary And Max,2009,Animation,Adam Elliot,8.1
How To Train Your Dragon,2010,Animation,Dean DeBlois,8.1
Into The Wild,2007,Adventure,Sean Penn,8.1
No Country For Old Men,2007,Crime,Ethan Coen,8.1
Lage Raho Munna Bhai,2006,Comedy,Rajkumar Hirani,8.1
Million Dollar Baby,2004,Drama,Clint Eastwood,8.1
Hotel Rwanda,2004,Biography,Terry George,8.1
Taegukgi Hwinalrimyeo,2004,Action,Je-kyu Kang,8.1
Before Sunset,2004,Drama,Richard Linklater,8.1
Munna Bhai M.B.B.S.,2003,Comedy,Rajkumar Hirani,8.1
Salinui Chueok,2003,Crime,Bong Joon Ho,8.1
Dil Chahta Hai,2001,Comedy,Farhan Akhtar,8.1
Kill Bill: Vol. 1,2003,Action,Quentin Tarantino,8.1
Finding Nemo,2003,Animation,Andrew Stanton,8.1
Catch Me If You Can,2002,Biography,Steven Spielberg,8.1
Amores Perros,2000,Drama,Alejandro G. IÃ±Ã¡rritu,8.1
"Monsters, Inc.",2001,Animation,Pete Docter,8.1
"Shin Seiki Evangelion Gekijã´-Ban: Air/Magokoro Wo, Kimi Ni",1997,Animation,Hideaki Anno,8.1
Lagaan: Once Upon A Time In India,2001,Adventure,Ashutosh Gowariker,8.1
The Sixth Sense,1999,Drama,M. Night Shyamalan,8.1
La Leggenda Del Pianista Sull'Oceano,1998,Drama,Giuseppe Tornatore,8.1
The Truman Show,1998,Comedy,Peter Weir,8.1
"Crna Macka, Beli Macor",1998,Comedy,Emir Kusturica,8.1
The Big Lebowski,1998,Comedy,Joel Coen,8.1
Fa Yeung Nin Wah,2000,Drama,Kar-Wai Wong,8.1
Trainspotting,1996,Drama,Danny Boyle,8.1
Fargo,1996,Crime,Joel Coen,8.1
Underground,1995,Comedy,Emir Kusturica,8.1
La Haine,1995,Crime,Mathieu Kassovitz,8.1
Dilwale Dulhania Le Jayenge,1995,Drama,Aditya Chopra,8.1
Before Sunrise,1995,Drama,Richard Linklater,8.1
Trois Couleurs: Rouge,1994,Drama,Krzysztof Kieslowski,8.1
Chung Hing Sam Lam,1994,Comedy,Kar-Wai Wong,8.1
Jurassic Park,1993,Action,Steven Spielberg,8.1
In The Name Of The Father,1993,Biography,Jim Sheridan,8.1
Ba Wang Bie Ji,1993,Drama,Kaige Chen,8.1
Dã  Hã³Ng Denglong Gaogao Guã ,1991,Drama,Yimou Zhang,8.1
Dead Poets Society,1989,Comedy,Peter Weir,8.1
Stand By Me,1986,Adventure,Rob Reiner,8.1
Platoon,1986,Drama,Oliver Stone,8.1
"Paris, Texas",1984,Drama,Wim Wenders,8.1
Kaze No Tani No Naushika,1984,Animation,Hayao Miyazaki,8.1
The Thing,1982,Horror,John Carpenter,8.1
Pink Floyd: The Wall,1982,Drama,Alan Parker,8.1
Fitzcarraldo,1982,Adventure,Werner Herzog,8.1
Fanny Och Alexander,1982,Drama,Ingmar Bergman,8.1
Blade Runner,1982,Action,Ridley Scott,8.1
The Elephant Man,1980,Biography,David Lynch,8.1
Life Of Brian,1979,Comedy,Terry Jones,8.1
The Deer Hunter,1978,Drama,Michael Cimino,8.1
Rocky,1976,Drama,John G. Avildsen,8.1
Network,1976,Drama,Sidney Lumet,8.1
Barry Lyndon,1975,Adventure,Stanley Kubrick,8.1
Zerkalo,1975,Biography,Andrei Tarkovsky,8.1
Chinatown,1974,Drama,Roman Polanski,8.1
Paper Moon,1973,Comedy,Peter Bogdanovich,8.1
Viskningar Och Rop,1972,Drama,Ingmar Bergman,8.1
Solaris,1972,Drama,Andrei Tarkovsky,8.1
Le Samouraã¯,1967,Crime,Jean-Pierre Melville,8.1
Cool Hand Luke,1967,Crime,Stuart Rosenberg,8.1
Persona,1966,Drama,Ingmar Bergman,8.1
Andrei Rublev,1966,Biography,Andrei Tarkovsky,8.1
La Battaglia Di Algeri,1966,Drama,Gillo Pontecorvo,8.1
El Ã¡Ngel Exterminador,1962,Drama,Luis BuÃ±uel,8.1
What Ever Happened To Baby Jane?,1962,Drama,Robert Aldrich,8.1
Sanjuro,1962,Action,Akira Kurosawa,8.1
The Man Who Shot Liberty Valance,1962,Drama,John Ford,8.1
Ivanovo Detstvo,1962,Drama,Andrei Tarkovsky,8.1
Jungfrukã¤Llan,1960,Drama,Ingmar Bergman,8.1
Inherit The Wind,1960,Biography,Stanley Kramer,8.1
Les Quatre Cents Coups,1959,Crime,FranÃ§ois Truffaut,8.1
Ben-Hur,1959,Adventure,William Wyler,8.1
Kakushi-Toride No San-Akunin,1958,Adventure,Akira Kurosawa,8.1
Le Notti Di Cabiria,1957,Drama,Federico Fellini,8.1
Kumonosu-Jã´,1957,Drama,Akira Kurosawa,8.1
The Bridge On The River Kwai,1957,Adventure,David Lean,8.1
On The Waterfront,1954,Crime,Elia Kazan,8.1
Le Salaire De La Peur,1953,Adventure,Henri-Georges Clouzot,8.1
Ace In The Hole,1951,Drama,Billy Wilder,8.1
White Heat,1949,Action,Raoul Walsh,8.1
The Third Man,1949,Film-Noir,Carol Reed,8.1
The Red Shoes,1948,Drama,Michael Powell,8.1
The Shop Around The Corner,1940,Comedy,Ernst Lubitsch,8.1
Rebecca,1940,Drama,Alfred Hitchcock,8.1
Mr. Smith Goes To Washington,1939,Comedy,Frank Capra,8.1
Gone With The Wind,1939,Drama,Victor Fleming,8.1
La Grande Illusion,1937,Drama,Jean Renoir,8.1
It Happened One Night,1934,Comedy,Frank Capra,8.1
La Passion De Jeanne D'Arc,1928,Biography,Carl Theodor Dreyer,8.1
The Circus,1928,Comedy,Charles Chaplin,8.1
Sunrise: A Song Of Two Humans,1927,Drama,F.W. Murnau,8.1
The General,1926,Action,Clyde Bruckman,8.1
Das Cabinet Des Dr. Caligari,1920,Fantasy,Robert Wiene,8.1
Badhaai Ho,2018,Comedy,Amit Ravindernath Sharma,8.0
Togo,2019,Adventure,Ericson Core,8.0
Airlift,2016,Drama,Raja Menon,8.0
Bajrangi Bhaijaan,2015,Action,Kabir Khan,8.0
Baby,2015,Action,Neeraj Pandey,8.0
La La Land,2016,Comedy,Damien Chazelle,8.0
Lion,2016,Biography,Garth Davis,8.0
The Martian,2015,Adventure,Ridley Scott,8.0
Zootopia,2016,Animation,Byron Howard,8.0
Bã£Hubali: The Beginning,2015,Action,S.S. Rajamouli,8.0
Kaguyahime No Monogatari,2013,Animation,Isao Takahata,8.0
Wonder,2017,Drama,Stephen Chbosky,8.0
Gully Boy,2019,Drama,Zoya Akhtar,8.0
Special Chabbis,2013,Crime,Neeraj Pandey,8.0
Short Term 12,2013,Drama,Destin Daniel Cretton,8.0
Serbuan Maut 2: Berandal,2014,Action,Gareth Evans,8.0
The Imitation Game,2014,Biography,Morten Tyldum,8.0
Guardians Of The Galaxy,2014,Action,James Gunn,8.0
Blade Runner 2049,2017,Action,Denis Villeneuve,8.0
Her,2013,Drama,Spike Jonze,8.0
Bohemian Rhapsody,2018,Biography,Bryan Singer,8.0
The Revenant,2015,Action,Alejandro G. IÃ±Ã¡rritu,8.0
The Perks Of Being A Wallflower,2012,Drama,Stephen Chbosky,8.0
Tropa De Elite 2: O Inimigo Agora Ã© Outro,2010,Action,JosÃ© Padilha,8.0
The King'S Speech,2010,Biography,Tom Hooper,8.0
The Help,2011,Drama,Tate Taylor,8.0
Deadpool,2016,Action,Tim Miller,8.0
Darbareye Elly,2009,Drama,Asghar Farhadi,8.0
Dev.D,2009,Drama,Anurag Kashyap,8.0
Yip Man,2008,Action,Wilson Yip,8.0
My Name Is Khan,2010,Drama,Karan Johar,8.0
Nefes: Vatan Sagolsun,2009,Action,Levent Semerci,8.0
Slumdog Millionaire,2008,Drama,Danny Boyle,8.0
Black Swan,2010,Drama,Darren Aronofsky,8.0
Tropa De Elite,2007,Action,JosÃ© Padilha,8.0
The Avengers,2012,Action,Joss Whedon,8.0
Persepolis,2007,Animation,Vincent Paronnaud,8.0
Dallas Buyers Club,2013,Biography,Jean-Marc VallÃ©e,8.0
The Pursuit Of Happyness,2006,Biography,Gabriele Muccino,8.0
Blood Diamond,2006,Adventure,Edward Zwick,8.0
The Bourne Ultimatum,2007,Action,Paul Greengrass,8.0
Bin-Jip,2004,Crime,Ki-duk Kim,8.0
Sin City,2005,Crime,Frank Miller,8.0
Le Scaphandre Et Le Papillon,2007,Biography,Julian Schnabel,8.0
G.O.R.A.,2004,Adventure,Ãmer Faruk Sorak,8.0
Ratatouille,2007,Animation,Brad Bird,8.0
Casino Royale,2006,Action,Martin Campbell,8.0
Kill Bill: Vol. 2,2004,Action,Quentin Tarantino,8.0
Vozvrashchenie,2003,Drama,Andrey Zvyagintsev,8.0
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,Drama,Ki-duk Kim,8.0
Mar Adentro,2014,Biography,Alejandro AmenÃ¡bar,8.0
Cinderella Man,2005,Biography,Ron Howard,8.0
Kal Ho Naa Ho,2003,Comedy,Nikkhil Advani,8.0
Mou Gaan Dou,2002,Action,Andrew Lau,8.0
Pirates Of The Caribbean: The Curse Of The Black Pearl,2003,Action,Gore Verbinski,8.0
Big Fish,2003,Adventure,Tim Burton,8.0
The Incredibles,2004,Animation,Brad Bird,8.0
Yeopgijeogin Geunyeo,2001,Comedy,Jae-young Kwak,8.0
Dogville,2003,Crime,Lars von Trier,8.0
Vizontele,2001,Comedy,Yilmaz Erdogan,8.0
Donnie Darko,2001,Drama,Richard Kelly,8.0
Magnolia,1999,Drama,Paul Thomas Anderson,8.0
Dancer In The Dark,2000,Crime,Lars von Trier,8.0
The Straight Story,1999,Biography,David Lynch,8.0
Pã¢Fekuto Burã»,1997,Animation,Satoshi Kon,8.0
Festen,1998,Drama,Thomas Vinterberg,8.0
Central Do Brasil,1998,Drama,Walter Salles,8.0
The Iron Giant,1999,Animation,Brad Bird,8.0
Knockin' On Heaven'S Door,1997,Action,Thomas Jahn,8.0
Sling Blade,1996,Drama,Billy Bob Thornton,8.0
Secrets & Lies,1996,Comedy,Mike Leigh,8.0
Twelve Monkeys,1995,Mystery,Terry Gilliam,8.0
Kã´Kaku Kidã´Tai,1995,Animation,Mamoru Oshii,8.0
The Nightmare Before Christmas,1993,Animation,Henry Selick,8.0
Groundhog Day,1993,Comedy,Harold Ramis,8.0
Bound By Honor,1993,Crime,Taylor Hackford,8.0
Scent Of A Woman,1992,Drama,Martin Brest,8.0
Aladdin,1992,Animation,Ron Clements,8.0
Jfk,1991,Drama,Oliver Stone,8.0
Beauty And The Beast,1991,Animation,Gary Trousdale,8.0
Dances With Wolves,1990,Adventure,Kevin Costner,8.0
Do The Right Thing,1989,Comedy,Spike Lee,8.0
Rain Man,1988,Drama,Barry Levinson,8.0
Akira,1988,Animation,Katsuhiro Ãtomo,8.0
The Princess Bride,1987,Adventure,Rob Reiner,8.0
Der Himmel Ã¼Ber Berlin,1987,Drama,Wim Wenders,8.0
Au Revoir Les Enfants,1987,Drama,Louis Malle,8.0
Tenkã» No Shiro Rapyuta,1986,Animation,Hayao Miyazaki,8.0
The Terminator,1984,Action,James Cameron,8.0
Gandhi,1982,Biography,Richard Attenborough,8.0
Kagemusha,1980,Drama,Akira Kurosawa,8.0
Being There,1979,Comedy,Hal Ashby,8.0
Annie Hall,1977,Comedy,Woody Allen,8.0
Jaws,1975,Adventure,Steven Spielberg,8.0
Dog Day Afternoon,1975,Biography,Sidney Lumet,8.0
Young Frankenstein,1974,Comedy,Mel Brooks,8.0
Papillon,1973,Biography,Franklin J. Schaffner,8.0
The Exorcist,1973,Horror,William Friedkin,8.0
Sleuth,1972,Mystery,Joseph L. Mankiewicz,8.0
The Last Picture Show,1971,Drama,Peter Bogdanovich,8.0
Fiddler On The Roof,1971,Drama,Norman Jewison,8.0
Il Conformista,1970,Drama,Bernardo Bertolucci,8.0
Butch Cassidy And The Sundance Kid,1969,Biography,George Roy Hill,8.0
Rosemary'S Baby,1968,Drama,Roman Polanski,8.0
Planet Of The Apes,1968,Adventure,Franklin J. Schaffner,8.0
The Graduate,1967,Comedy,Mike Nichols,8.0
Who'S Afraid Of Virginia Woolf?,1966,Drama,Mike Nichols,8.0
The Sound Of Music,1965,Biography,Robert Wise,8.0
Doctor Zhivago,1965,Drama,David Lean,8.0
Per Un Pugno Di Dollari,1964,Action,Sergio Leone,8.0
8Â½,1963,Drama,Federico Fellini,8.0
Vivre Sa Vie: Film En Douze Tableaux,1962,Drama,Jean-Luc Godard,8.0
The Hustler,1961,Drama,Robert Rossen,8.0
La Dolce Vita,1960,Comedy,Federico Fellini,8.0
Rio Bravo,1959,Action,Howard Hawks,8.0
Anatomy Of A Murder,1959,Crime,Otto Preminger,8.0
Touch Of Evil,1958,Crime,Orson Welles,8.0
Cat On A Hot Tin Roof,1958,Drama,Richard Brooks,8.0
Sweet Smell Of Success,1957,Drama,Alexander Mackendrick,8.0
The Killing,1956,Crime,Stanley Kubrick,8.0
The Night Of The Hunter,1955,Crime,Charles Laughton,8.0
La Strada,1954,Drama,Federico Fellini,8.0
Les Diaboliques,1955,Crime,Henri-Georges Clouzot,8.0
Stalag 17,1953,Comedy,Billy Wilder,8.0
Roman Holiday,1953,Comedy,William Wyler,8.0
A Streetcar Named Desire,1951,Drama,Elia Kazan,8.0
In A Lonely Place,1950,Drama,Nicholas Ray,8.0
Kind Hearts And Coronets,1949,Comedy,Robert Hamer,8.0
Rope,1948,Crime,Alfred Hitchcock,8.0
Out Of The Past,1947,Crime,Jacques Tourneur,8.0
Brief Encounter,1945,Drama,David Lean,8.0
Laura,1944,Drama,Otto Preminger,8.0
The Best Years Of Our Lives,1946,Drama,William Wyler,8.0
Arsenic And Old Lace,1942,Comedy,Frank Capra,8.0
The Maltese Falcon,1941,Film-Noir,John Huston,8.0
The Grapes Of Wrath,1940,Drama,John Ford,8.0
The Wizard Of Oz,1939,Adventure,Victor Fleming,8.0
La Rã¨Gle Du Jeu,1939,Comedy,Jean Renoir,8.0
The Thin Man,1934,Comedy,W.S. Van Dyke,8.0
All Quiet On The Western Front,1930,Drama,Lewis Milestone,8.0
Bronenosets Potemkin,1925,Drama,Sergei M. Eisenstein,8.0
Knives Out,2019,Comedy,Rian Johnson,7.9
