Movie,Released_Year,Genre,Director,IMDB_Rating
Batoru Rowaiaru,2000,Action,Kinji Fukasaku,7.6
The Royal Tenenbaums,2001,Comedy,Wes Anderson,7.6
Y Tu Mamã¡ Tambiã©N,2001,Drama,Alfonso CuarÃ³n,7.6
Harry Potter And The Sorcerer'S Stone,2001,Adventure,Chris Columbus,7.6
The Others,2001,Horror,Alejandro AmenÃ¡bar,7.6
Blow,2001,Biography,Ted Demme,7.6
Enemy At The Gates,2001,Drama,Jean-Jacques Annaud,7.6
Minority Report,2002,Action,Steven Spielberg,7.6
The Hurricane,1999,Biography,Norman Jewison,7.6
American Psycho,2000,Comedy,Mary Harron,7.6
Lola Rennt,1998,Crime,Tom Tykwer,7.6
The Thin Red Line,1998,Drama,Terrence Malick,7.6
Mulan,1998,Animation,Tony Bancroft,7.6
Fear And Loathing In Las Vegas,1998,Adventure,Terry Gilliam,7.6
Funny Games,1997,Crime,Michael Haneke,7.6
Dark City,1998,Mystery,Alex Proyas,7.6
Sleepers,1996,Crime,Barry Levinson,7.6
Lost Highway,1997,Mystery,David Lynch,7.6
Sense And Sensibility,1995,Drama,Ang Lee,7.6
Die Hard: With A Vengeance,1995,Action,John McTiernan,7.6
Dead Man,1995,Adventure,Jim Jarmusch,7.6
The Bridges Of Madison County,1995,Drama,Clint Eastwood,7.6
Apollo 13,PG,Adventure,Ron Howard,7.6
Trois Couleurs: Blanc,1994,Comedy,Krzysztof Kieslowski,7.6
Falling Down,1993,Action,Joel Schumacher,7.6
Dazed And Confused,1993,Comedy,Richard Linklater,7.6
My Cousin Vinny,1992,Comedy,Jonathan Lynn,7.6
Omohide Poro Poro,1991,Animation,Isao Takahata,7.6
Delicatessen,1991,Comedy,Marc Caro,7.6
Home Alone,1990,Comedy,Chris Columbus,7.6
The Godfather: Part Iii,1990,Crime,Francis Ford Coppola,7.6
When Harry Met Sally...,1989,Comedy,Rob Reiner,7.6
The Little Mermaid,1989,Animation,Ron Clements,7.6
The Naked Gun: From The Files Of Police Squad!,1988,Comedy,David Zucker,7.6
"Planes, Trains & Automobiles",1987,Comedy,John Hughes,7.6
Lethal Weapon,1987,Action,Richard Donner,7.6
Blood Simple,1984,Crime,Joel Coen,7.6
On Golden Pond,1981,Drama,Mark Rydell,7.6
Mad Max 2,1981,Action,George Miller,7.6
The Warriors,1979,Action,Walter Hill,7.6
The Muppet Movie,1979,Adventure,James Frawley,7.6
Escape From Alcatraz,1979,Action,Don Siegel,7.6
Watership Down,1978,Animation,Martin Rosen,7.6
Midnight Express,1978,Biography,Alan Parker,7.6
Close Encounters Of The Third Kind,1977,Drama,Steven Spielberg,7.6
The Long Goodbye,1973,Comedy,Robert Altman,7.6
Giã¹ La Testa,1971,Drama,Sergio Leone,7.6
Kelly'S Heroes,1970,Adventure,Brian G. Hutton,7.6
The Jungle Book,1967,Animation,Wolfgang Reitherman,7.6
Blowup,1966,Drama,Michelangelo Antonioni,7.6
A Hard Day'S Night,1964,Comedy,Richard Lester,7.6
Breakfast At Tiffany'S,1961,Comedy,Blake Edwards,7.6
Giant,1956,Drama,George Stevens,7.6
From Here To Eternity,1953,Drama,Fred Zinnemann,7.6
Lifeboat,1944,Drama,Alfred Hitchcock,7.6
The 39 Steps,1935,Crime,Alfred Hitchcock,7.6
